"county","tract","cntyname","intptlon","intptlat","pop10","afact"
"County code","Tract","County name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","tract to tract allocation factor"
"11001","0095.04","District of Columbia DC",-76.993366,38.940887,3025,1 
"11001","0095.05","District of Columbia DC",-77.003899,38.962257,2630,1 
"11001","0095.07","District of Columbia DC",-76.996962,38.958627,1489,1 
"11001","0095.08","District of Columbia DC",-76.996918,38.954655,3290,1 
"11001","0095.09","District of Columbia DC",-76.994139,38.949249,2940,1 
"11001","0096.01","District of Columbia DC",-76.939416,38.909945,2445,1 
"11001","0096.02","District of Columbia DC",-76.949312,38.903666,3280,1 
"11001","0096.03","District of Columbia DC",-76.946969,38.89141,3373,1 
"11001","0096.04","District of Columbia DC",-76.95808,38.892918,1962,1 
"11001","0097.00","District of Columbia DC",-76.989327,38.833816,3177,1 
"11001","0098.01","District of Columbia DC",-76.995533,38.833524,1575,1 
"11001","0098.02","District of Columbia DC",-76.996305,38.830769,1693,1 
"11001","0098.03","District of Columbia DC",-77.004256,38.835602,2758,1 
"11001","0098.04","District of Columbia DC",-76.997719,38.841157,2473,1 
"11001","0098.07","District of Columbia DC",-77.010361,38.827058,3072,1 
"11001","0098.10","District of Columbia DC",-77.004395,38.82787,2507,1 
"11001","0098.11","District of Columbia DC",-76.998224,38.826882,4365,1 
"11001","0099.01","District of Columbia DC",-76.957974,38.872617,2249,1 
"11001","0099.02","District of Columbia DC",-76.944824,38.867951,2905,1 
"11001","0099.03","District of Columbia DC",-76.92066,38.888321,1851,1 
"11001","0099.04","District of Columbia DC",-76.930769,38.884916,2243,1 
"11001","0099.05","District of Columbia DC",-76.9253,38.884242,2795,1 
"11001","0099.06","District of Columbia DC",-76.935951,38.887729,1296,1 
"11001","0099.07","District of Columbia DC",-76.938452,38.882388,2836,1 
"11001","0101.00","District of Columbia DC",-77.031359,38.90396,2621,1 
"11001","0102.00","District of Columbia DC",-77.020226,38.879401,2324,1 
"11001","0103.00","District of Columbia DC",-77.025842,38.976627,3187,1 
"11001","0104.00","District of Columbia DC",-77.000358,38.846336,4365,1 
"11001","0105.00","District of Columbia DC",-77.014616,38.880168,3410,1 
"11001","0106.00","District of Columbia DC",-76.999321,38.903013,3933,1 
"11001","0107.00","District of Columbia DC",-77.045591,38.905374,1838,1 
"11001","0108.00","District of Columbia DC",-77.046785,38.89784,6408,1 
"11001","0109.00","District of Columbia DC",-77.010828,38.819046,3211,1 
"11001","0110.00","District of Columbia DC",-77.017158,38.874167,3715,1 
"11001","0111.00","District of Columbia DC",-76.970288,38.924928,4859,1 
